Designator,Mid X,Mid Y,Rotation,Layer
AE1,151.97,-112.18,0.0,bottom
BT1,152.0,-125.9,0.0,bottom
C1,150.55,-101.96,0.0,top
C10,157.34,-124.23,0.0,top
C11,153.47,-92.91,0.0,top
C12,155.44,-92.9,180.0,top
C13,151.49,-91.84,180.0,top
C14,148.42,-95.05,180.0,top
C15,153.57,-100.42,0.0,top
C16,152.7,-101.95,0.0,top
C17,157.7,-106.08,0.0,top
C18,157.0,-110.24,180.0,top
C19,148.5,-91.84,0.0,top
C2,158.58,-117.37,0.0,top
C20,151.49,-90.81,0.0,top
C21,153.01,-91.28,90.0,top
C22,151.48,-88.63,180.0,top
C23,149.54,-88.64,0.0,top
C24,152.43,-87.64,180.0,top
C25,156.74,-89.25,180.0,top
C26,151.48,-89.62,0.0,top
C3,157.85,-104.1,0.0,top
C4,149.55,-92.87,180.0,top
C5,158.27,-111.29,0.0,top
C6,157.86,-103.115,0.0,top
C7,158.27,-112.27,0.0,top
C8,149.54,-93.96,180.0,top
C9,155.43,-93.96,180.0,top
D1,150.11,-120.54,0.0,bottom
D2,153.99,-120.53,0.0,bottom
FB1,158.32,-101.86,180.0,top
FB2,157.91,-122.9,0.0,top
FB3,148.08,-101.69,0.0,top
J1,152.0,-84.5,180.0,top
J2,145.46,-92.555,0.0,bottom
L1,151.11,-100.69,180.0,top
L2,151.51,-93.97,0.0,top
L3,153.48,-93.97,0.0,top
L4,151.51,-92.89,180.0,top
L5,149.48,-90.82,0.0,top
L6,150.5,-87.64,0.0,top
R1,158.46,-94.07,180.0,top
R10,155.48,-125.3,180.0,top
R11,148.03,-100.41,0.0,top
R12,157.83,-105.09,180.0,top
R2,158.45,-95.09,180.0,top
R3,158.46,-96.1,180.0,top
R4,156.5,-95.09,180.0,top
R5,156.74,-90.27,180.0,top
R6,157.36,-121.64,180.0,top
R7,158.58,-118.36,0.0,top
R8,148.44,-125.37,0.0,top
R9,158.58,-119.41,180.0,top
SW1,152.04,-100.0,270.0,bottom
U1,152.76,-97.25,-90.0,top
U2,157.43,-114.74,90.0,top
U3,152.0,-106.0,90.0,top
U4,149.58,-118.66,180.0,top
U5,154.56,-90.55,-90.0,top
Y1,148.61,-97.58,270.0,top
Y2,157.76,-108.04,270.0,top
